Algoritmo,Tempo (s),Nós explorados,Podas (overflow),Podas (inviáveis),Solução
Backtracking,1.1199968867003918e-05,4,0,0,"[3, 5, 7]"
Branch and Bound,2.0700041204690933e-05,11,4,0,"[10, 5]"
